date,CPI_combined,CPI_rural,CPI_urban,CPI_industrial_2001,CPI_industrial_2016,WPI,WPI_primary,WPI_fuel,WPI_manufactured,CPI_inflation_yoy,CPI_rural_inflation_yoy,CPI_urban_inflation_yoy,WPI_inflation_yoy,CPI_inflation_mom
2006-04-30,,,,120.0,,,,,,,,,,
2006-05-31,,,,121.0,,,,,,,,,,
2006-06-30,,,,123.0,,,,,,,,,,
2006-07-31,,,,124.0,,,,,,,,,,
2006-08-31,,,,124.0,,,,,,,,,,
2006-09-30,,,,125.0,,,,,,,,,,
2006-10-31,,,,127.0,,,,,,,,,,
2006-11-30,,,,127.0,,,,,,,,,,
2006-12-31,,,,127.0,,,,,,,,,,
2007-01-31,,,,127.0,,,,,,,,,,
2007-02-28,,,,128.0,,,,,,,,,,
2007-03-31,,,,127.0,,,,,,,,,,
2007-04-30,,,,128.0,,,,,,,,,,
2007-05-31,,,,129.0,,,,,,,,,,
2007-06-30,,,,130.0,,,,,,,,,,
2007-07-31,,,,132.0,,,,,,,,,,
2007-08-31,,,,133.0,,,,,,,,,,
2007-09-30,,,,133.0,,,,,,,,,,
2007-10-31,,,,134.0,,,,,,,,,,
2007-11-30,,,,134.0,,,,,,,,,,
2007-12-31,,,,134.0,,,,,,,,,,
2008-01-31,,,,134.0,,,,,,,,,,
2008-02-29,,,,135.0,,,,,,,,,,
2008-03-31,,,,137.0,,,,,,,,,,
2008-04-30,,,,138.0,,,,,,,,,,
2008-05-31,,,,139.0,,,,,,,,,,
2008-06-30,,,,140.0,,,,,,,,,,
2008-07-31,,,,143.0,,,,,,,,,,
2008-08-31,,,,145.0,,,,,,,,,,
2008-09-30,,,,146.0,,,,,,,,,,
2008-10-31,,,,148.0,,,,,,,,,,
2008-11-30,,,,148.0,,,,,,,,,,
2008-12-31,,,,147.0,,,,,,,,,,
2009-01-31,,,,148.0,,,,,,,,,,
2009-02-28,,,,148.0,,,,,,,,,,
2009-03-31,,,,148.0,,,,,,,,,,
2009-04-30,,,,150.0,,,,,,,,,,
2009-05-31,,,,151.0,,,,,,,,,,
2009-06-30,,,,153.0,,,,,,,,,,
2009-07-31,,,,160.0,,,,,,,,,,
2009-08-31,,,,162.0,,,,,,,,,,
2009-09-30,,,,163.0,,,,,,,,,,
2009-10-31,,,,165.0,,,,,,,,,,
2009-11-30,,,,168.0,,,,,,,,,,
2009-12-31,,,,169.0,,,,,,,,,,
