date,bank_rate,repo_rate,reverse_repo,sdf_rate,msf_rate,crr,slr
1935-07-05,3.5,,,,,,
1935-11-28,3.0,,,,,,
1949-03-16,3.0,,,,,,20.0
1951-11-15,3.5,,,,,,20.0
1957-05-16,4.0,,,,,,20.0
1960-03-06,4.0,,,,,,20.0
1960-05-06,4.0,,,,,,20.0
1960-11-11,4.0,,,,,,20.0
1962-09-16,4.0,,,,,,20.0
1963-01-03,4.5,,,,,,20.0
1964-09-16,4.5,,,,,,25.0
1964-09-26,5.0,,,,,,25.0
1965-02-17,6.0,,,,,,25.0
1968-03-02,5.0,,,,,,25.0
1970-02-05,5.0,,,,,,26.0
1970-04-24,5.0,,,,,,27.0
1970-08-28,5.0,,,,,,28.0
1971-01-09,6.0,,,,,,28.0
1972-08-04,6.0,,,,,,29.0
1972-11-17,6.0,,,,,,30.0
1973-05-31,7.0,,,,,,30.0
1973-06-29,7.0,,,,,5.0,30.0
1973-09-08,7.0,,,,,6.0,30.0
1973-09-22,7.0,,,,,7.0,30.0
1973-12-08,7.0,,,,,7.0,32.0
1974-07-01,7.0,,,,,5.0,33.0
1974-07-23,9.0,,,,,5.0,33.0
1974-12-14,9.0,,,,,4.5,33.0
1974-12-28,9.0,,,,,4.0,33.0
1976-09-04,9.0,,,,,5.0,33.0
1976-11-13,9.0,,,,,6.0,33.0
1978-12-01,9.0,,,,,6.0,34.0
1981-07-12,10.0,,,,,6.0,34.0
1981-07-31,10.0,,,,,6.5,34.0
1981-08-21,10.0,,,,,7.0,34.0
1981-09-25,10.0,,,,,7.0,34.5
1981-10-30,10.0,,,,,7.0,35.0
1981-11-27,10.0,,,,,7.25,35.0
1981-12-25,10.0,,,,,7.5,35.0
1982-01-29,10.0,,,,,7.75,35.0
1982-04-09,10.0,,,,,7.25,35.0
1982-06-11,10.0,,,,,7.0,35.0
1983-05-27,10.0,,,,,7.5,35.0
1983-07-29,10.0,,,,,8.0,35.0
1983-08-27,10.0,,,,,8.5,35.0
1984-02-04,10.0,,,,,9.0,35.0
1984-07-28,10.0,,,,,9.0,35.5
1984-09-01,10.0,,,,,9.0,36.0
1985-06-08,10.0,,,,,9.0,36.5
1985-07-06,10.0,,,,,9.0,37.0
1987-02-28,10.0,,,,,9.5,37.0
1987-04-25,10.0,,,,,9.5,37.5
1987-10-24,10.0,,,,,10.0,37.5
1988-01-02,10.0,,,,,10.0,38.0
1988-07-02,10.0,,,,,10.5,38.0
1988-07-30,10.0,,,,,11.0,38.0
1989-07-01,10.0,,,,,15.0,38.0
1990-09-22,10.0,,,,,15.0,38.5
1991-07-04,11.0,,,,,15.0,38.5
1991-10-09,12.0,,,,,15.0,38.5
1993-01-09,12.0,,,,,15.0,38.25
1993-02-06,12.0,,,,,15.0,38.0
1993-03-06,12.0,,,,,15.0,37.75
1993-04-17,12.0,,,,,14.5,37.75
1993-05-15,12.0,,,,,14.0,37.75
1993-08-21,12.0,,,,,14.0,37.5
1993-09-18,12.0,,,,,14.0,37.25
1993-10-16,12.0,,,,,14.0,34.75
1994-06-11,12.0,,,,,14.5,34.75
1994-07-09,12.0,,,,,14.75,34.75
1994-08-06,12.0,,,,,15.0,34.75
1994-08-20,12.0,,,,,15.0,34.25
1994-09-17,12.0,,,,,15.0,33.75
1994-10-29,12.0,,,,,15.0,31.5
1995-11-11,12.0,,,,,14.5,31.5
1995-12-09,12.0,,,,,14.0,31.5
1996-04-27,12.0,,,,,13.5,31.5
1996-05-11,12.0,,,,,13.0,31.5
1996-07-06,12.0,,,,,12.0,31.5
1996-10-26,12.0,,,,,11.5,31.5
1996-11-09,12.0,,,,,11.0,31.5
1997-01-04,12.0,,,,,10.5,31.5
1997-01-18,12.0,,,,,10.0,31.5
1997-04-16,11.0,,,,,10.0,31.5
1997-06-26,10.0,,,,,10.0,31.5
1997-10-22,9.0,,,,,10.0,31.5
1997-10-25,9.0,,,,,9.75,25.0
1997-11-22,9.0,,,,,9.5,25.0
1997-12-06,9.0,,,,,10.0,25.0
1998-01-17,11.0,,,,,10.5,25.0
1998-03-19,10.5,,,,,10.5,25.0
1998-03-28,10.5,,,,,10.25,25.0
1998-04-03,10.0,,,,,10.25,25.0
1998-04-11,10.0,,,,,10.0,25.0
1998-04-29,9.0,,,,,10.0,25.0
1998-08-29,9.0,,,,,11.0,25.0
1999-03-02,8.0,,,,,11.0,25.0
1999-03-13,8.0,,,,,10.5,25.0
1999-05-08,8.0,,,,,10.0,25.0
1999-11-06,8.0,,,,,9.5,25.0
1999-11-20,8.0,,,,,9.0,25.0
2000-04-02,7.0,,,,,9.0,25.0
2000-04-08,7.0,,,,,8.5,25.0
2000-04-22,7.0,,,,,8.0,25.0
2000-07-22,8.0,,,,,8.0,25.0
2000-07-29,8.0,,,,,8.25,25.0
2000-08-12,8.0,,,,,8.5,25.0
2001-02-17,7.5,,,,,8.5,25.0
