year,month,exports_rupees,exports_usd,exports_oil_rupees,exports_oil_usd,exports_nonoil_rupees,exports_nonoil_usd,imports_rupees,imports_usd,imports_oil_rupees,imports_oil_usd,imports_nonoil_rupees,imports_nonoil_usd,trade_balance_rupees,trade_balance_usd,trade_balance_oil_rupees,trade_balance_oil_usd,trade_balance_nonoil_rupees,trade_balance_nonoil_usd,date,trade_openness,import_cover_ratio,exports_growth_yoy,imports_growth_yoy
,1990-04-01,2480.0,1435.0,,,,,3234.0,1872.0,,,,,-754.0,-436.0,,,,,1990-04-01,5714.0,0.766852195423624,,
,1990-05-01,2597.0,1496.0,,,,,3129.0,1802.0,,,,,-532.0,-306.0,,,,,1990-05-01,5726.0,0.8299776286353467,,
,1990-06-01,2303.0,1322.0,,,,,2878.0,1652.0,,,,,-575.0,-330.0,,,,,1990-06-01,5181.0,0.8002084781097984,,
,1990-07-01,2556.0,1471.0,,,,,3058.0,1760.0,,,,,-502.0,-289.0,,,,,1990-07-01,5614.0,0.8358404185742315,,
,1990-08-01,2583.0,1484.0,,,,,3223.0,1852.0,,,,,-640.0,-368.0,,,,,1990-08-01,5806.0,0.8014272417002792,,
,1990-09-01,2582.0,1447.0,,,,,3825.0,2144.0,,,,,-1243.0,-697.0,,,,,1990-09-01,6407.0,0.6750326797385621,,
,1990-10-01,2559.0,1414.0,,,,,3738.0,2066.0,,,,,-1180.0,-652.0,,,,,1990-10-01,6297.0,0.6845906902086677,,
,1990-11-01,2632.0,1456.0,,,,,4472.0,2474.0,,,,,-1840.0,-1018.0,,,,,1990-11-01,7104.0,0.5885509838998211,,
1990.0,1990-12-01,2920.0,1613.0,,,,,4143.0,2289.0,,,,,-1223.0,-676.0,,,,,1990-12-01,7063.0,0.704803282645426,,
,1991-01-01,3036.0,1660.0,,,,,4123.0,2254.0,,,,,-1086.0,-594.0,,,,,1991-01-01,7159.0,0.7363570215862236,,
,1991-02-01,2866.0,1519.0,,,,,3657.0,1938.0,,,,,-791.0,-419.0,,,,,1991-02-01,6523.0,0.7837024883784522,,
,1991-03-01,3439.0,1791.0,,,,,3714.0,1934.0,,,,,-275.0,-143.0,,,,,1991-03-01,7153.0,0.9259558427571352,,
,1991-04-01,2977.0,1501.0,,,,,3072.0,1548.0,,,,,-94.0,-48.0,,,,,1991-04-01,6049.0,0.9690755208333334,20.040322580645164,-5.0092764378478645
,1991-05-01,2732.0,1330.0,,,,,3224.0,1570.0,,,,,-492.0,-240.0,,,,,1991-05-01,5956.0,0.847394540942928,5.198305737389286,3.0361137743688094
,1991-06-01,2666.0,1269.0,,,,,3615.0,1721.0,,,,,-950.0,-452.0,,,,,1991-06-01,6281.0,0.7374827109266944,15.76204950065132,25.608061153578877
,1991-07-01,3376.0,1326.0,,,,,3391.0,1332.0,,,,,-15.0,-6.0,,,,,1991-07-01,6767.0,0.995576526098496,32.081377151799686,10.889470241988231
,1991-08-01,3645.0,1422.0,,,,,3927.0,1532.0,,,,,-281.0,-110.0,,,,,1991-08-01,7572.0,0.9281894576012223,41.11498257839721,21.843003412969274
,1991-09-01,3931.0,1518.0,,,,,4083.0,1577.0,,,,,-152.0,-59.0,,,,,1991-09-01,8014.0,0.9627724712221406,52.246320681642146,6.74509803921568
,1991-10-01,3668.0,1421.0,,,,,4338.0,1681.0,,,,,-670.0,-260.0,,,,,1991-10-01,8006.0,0.8455509451360074,43.337241109808524,16.0513643659711
,1991-11-01,3670.0,1420.0,,,,,3996.0,1546.0,,,,,-325.0,-126.0,,,,,1991-11-01,7666.0,0.9184184184184184,39.43768996960486,-10.64400715563506
1991.0,1991-12-01,4117.0,1591.0,,,,,4799.0,1855.0,,,,,-683.0,-264.0,,,,,1991-12-01,8916.0,0.8578870598041258,40.9931506849315,15.83393676080136
,1992-01-01,4500.0,1732.0,,,,,4338.0,1669.0,,,,,162.0,62.0,,,,,1992-01-01,8838.0,1.037344398340249,48.221343873517796,5.2146495270434245
,1992-02-01,3938.0,1520.0,,,,,4379.0,1691.0,,,,,-441.0,-170.0,,,,,1992-02-01,8317.0,0.8992920758163965,37.40404745289603,19.742958709324586
,1992-03-01,4822.0,1720.0,,,,,4690.0,1673.0,,,,,132.0,47.0,,,,,1992-03-01,9512.0,1.028144989339019,40.21517883105554,26.27894453419495
,1992-04-01,4009.0,1387.0,,,,,5173.0,1789.0,,,,,-1164.0,-403.0,,,,,1992-04-01,9182.0,0.7749855016431471,34.665770910312396,68.39192708333333
,1992-05-01,3789.0,1327.0,,,,,5224.0,1829.0,,,,,-1435.0,-502.0,,,,,1992-05-01,9013.0,0.7253062787136294,38.689604685212295,62.0347394540943
,1992-06-01,3887.0,1364.0,,,,,5717.0,2006.0,,,,,-1830.0,-642.0,,,,,1992-06-01,9604.0,0.6799020465278992,45.79894973743437,58.14661134163208
,1992-07-01,4052.0,1421.0,,,,,5647.0,1981.0,,,,,-1595.0,-559.0,,,,,1992-07-01,9699.0,0.7175491411368868,20.023696682464465,66.52904747861987
,1992-08-01,4519.0,1591.0,,,,,4933.0,1736.0,,,,,-414.0,-146.0,,,,,1992-08-01,9452.0,0.9160754105007095,23.97805212620028,25.617519735166795
,1992-09-01,4323.0,1523.0,,,,,5406.0,1904.0,,,,,-1083.0,-381.0,,,,,1992-09-01,9729.0,0.7996670366259712,9.972017298397361,32.40264511388684
,1992-10-01,4449.0,1567.0,,,,,4773.0,1682.0,,,,,-324.0,-114.0,,,,,1992-10-01,9222.0,0.9321181646763043,21.292257360959653,10.027662517289082
,1992-11-01,4310.0,1517.0,,,,,5294.0,1864.0,,,,,-983.0,-346.0,,,,,1992-11-01,9604.0,0.814129202871175,17.438692098092634,32.48248248248249
1992.0,1992-12-01,4274.0,1480.0,,,,,5542.0,1919.0,,,,,-1268.0,-439.0,,,,,1992-12-01,9816.0,0.771201732226633,3.8134564002914706,15.482392165034376
,1993-01-01,4544.0,1566.0,,,,,4659.0,1606.0,,,,,-115.0,-40.0,,,,,1993-01-01,9203.0,0.9753165915432497,0.9777777777777885,7.399723374827105
,1993-02-01,5310.0,1766.0,,,,,5516.0,1834.0,,,,,-206.0,-68.0,,,,,1993-02-01,10826.0,0.9626540971718637,34.84002031488065,25.964832153459703
,1993-03-01,6224.0,1974.0,,,,,5493.0,1743.0,,,,,730.0,232.0,,,,,1993-03-01,11717.0,1.1330784634989988,29.075072583990046,17.12153518123667
,1993-04-01,5616.0,1794.0,,,,,5467.0,1746.0,,,,,149.0,48.0,,,,,1993-04-01,11083.0,1.0272544357051399,40.08480917934647,5.683355886332886
,1993-05-01,5299.0,1691.0,,,,,5466.0,1745.0,,,,,-168.0,-54.0,,,,,1993-05-01,10765.0,0.9694474935967801,39.85220374769067,4.632465543644715
,1993-06-01,5331.0,1697.0,,,,,6213.0,1978.0,,,,,-882.0,-281.0,,,,,1993-06-01,11544.0,0.8580395943988411,37.1494726009776,8.675878957495197
,1993-07-01,5767.0,1839.0,,,,,6190.0,1973.0,,,,,-422.0,-135.0,,,,,1993-07-01,11957.0,0.9316639741518579,42.324777887462986,9.615725163803779
,1993-08-01,5458.0,1740.0,,,,,5800.0,1849.0,,,,,-341.0,-109.0,,,,,1993-08-01,11258.0,0.9410344827586207,20.778933392343447,17.575511858909376
,1993-09-01,5205.0,1659.0,,,,,5975.0,1905.0,,,,,-770.0,-245.0,,,,,1993-09-01,11180.0,0.8711297071129707,20.402498265093683,10.525342212356637
,1993-10-01,5633.0,1796.0,,,,,5803.0,1850.0,,,,,-171.0,-54.0,,,,,1993-10-01,11436.0,0.9707048078580045,26.612721959991003,21.579719254137864
,1993-11-01,5276.0,1682.0,,,,,5790.0,1846.0,,,,,-515.0,-164.0,,,,,1993-11-01,11066.0,0.9112262521588946,22.41299303944315,9.369097091046473
1993.0,1993-12-01,6027.0,1921.0,,,,,7075.0,2255.0,,,,,-1048.0,-334.0,,,,,1993-12-01,13102.0,0.8518727915194346,41.01544220870379,27.66149404547096
,1994-01-01,6545.0,2087.0,,,,,5891.0,1878.0,,,,,654.0,209.0,,,,,1994-01-01,12436.0,1.1110168052962146,44.036091549295776,26.443442798883886
,1994-02-01,6415.0,2045.0,,,,,5879.0,1874.0,,,,,536.0,171.0,,,,,1994-02-01,12294.0,1.0911719680217724,20.809792843691156,6.580855692530818
,1994-03-01,7179.0,2288.0,,,,,7553.0,2407.0,,,,,-374.0,-119.0,,,,,1994-03-01,14732.0,0.950483251688071,15.343830334190223,37.502275623520845
,1994-04-01,6368.0,2030.0,,,,,6352.0,2025.0,,,,,15.0,5.0,,,,,1994-04-01,12720.0,1.0025188916876575,13.39031339031338,16.188037314797874
,1994-05-01,5760.0,1836.0,,,,,6104.0,1946.0,,,,,-344.0,-110.0,,,,,1994-05-01,11864.0,0.9436435124508519,8.699754670692595,11.672155140870832
,1994-06-01,5798.0,1848.0,,,,,6409.0,2043.0,,,,,-611.0,-195.0,,,,,1994-06-01,12207.0,0.9046653144016227,8.760082536109536,3.1546756800257425
,1994-07-01,5970.0,1903.0,,,,,6900.0,2199.0,,,,,-930.0,-296.0,,,,,1994-07-01,12870.0,0.8652173913043478,3.5200277440610384,11.47011308562198
,1994-08-01,6810.0,2171.0,,,,,7287.0,2323.0,,,,,-477.0,-152.0,,,,,1994-08-01,14097.0,0.9345409633594072,24.77097838035911,25.637931034482754
,1994-09-01,6645.0,2118.0,,,,,7653.0,2440.0,,,,,-1008.0,-321.0,,,,,1994-09-01,14298.0,0.8682869462955703,27.665706051873194,28.083682008368193
,1994-10-01,7113.0,2267.0,,,,,8227.0,2622.0,,,,,-1114.0,-355.0,,,,,1994-10-01,15340.0,0.8645921964264008,26.273744008521206,41.77149750129243
,1994-11-01,6517.0,2076.0,,,,,7547.0,2404.0,,,,,-1030.0,-328.0,,,,,1994-11-01,14064.0,0.863521929243408,23.521607278241085,30.3454231433506
1994.0,1994-12-01,7384.0,2352.0,,,,,8415.0,2681.0,,,,,-1032.0,-329.0,,,,,1994-12-01,15799.0,0.8774806892453951,22.515347602455616,18.93992932862192
,1995-01-01,7363.0,2347.0,,,,,7442.0,2372.0,,,,,-80.0,-25.0,,,,,1995-01-01,14805.0,0.9893845740392367,12.498090145148977,26.328297402817856
,1995-02-01,7388.0,2355.0,,,,,8099.0,2581.0,,,,,-711.0,-226.0,,,,,1995-02-01,15487.0,0.9122113841214965,15.167575993764615,37.761524068719176
,1995-03-01,9559.0,3020.0,,,,,9535.0,3012.0,,,,,24.0,8.0,,,,,1995-03-01,19094.0,1.0025170424750918,33.1522496169383,26.2412286508672
,1995-04-01,7833.0,2494.0,,,,,7750.0,2467.0,,,,,83.0,27.0,,,,,1995-04-01,15583.0,1.010709677419355,23.00565326633166,22.008816120906793
,1995-05-01,7511.0,2391.0,,,,,9475.0,3016.0,,,,,-1965.0,-625.0,,,,,1995-05-01,16986.0,0.7927176781002638,30.399305555555543,55.22608125819135
,1995-06-01,7594.0,2418.0,,,,,9052.0,2883.0,,,,,-1458.0,-464.0,,,,,1995-06-01,16646.0,0.8389306230667256,30.976198689203184,41.23888282103292
,1995-07-01,7890.0,2514.0,,,,,9682.0,3086.0,,,,,-1792.0,-571.0,,,,,1995-07-01,17572.0,0.8149142739103491,32.16080402010051,40.318840579710134
,1995-08-01,8135.0,2576.0,,,,,9586.0,3035.0,,,,,-1451.0,-460.0,,,,,1995-08-01,17721.0,0.8486334237429585,19.456681350954486,31.54933443117882
,1995-09-01,7957.0,2396.0,,,,,10052.0,3027.0,,,,,-2095.0,-631.0,,,,,1995-09-01,18009.0,0.79158376442499,19.744168547780294,31.347184110806214
,1995-10-01,8675.0,2512.0,,,,,9707.0,2811.0,,,,,-1032.0,-299.0,,,,,1995-10-01,18382.0,0.8936849696095601,21.959791930268512,17.98954661480492
,1995-11-01,9275.0,2670.0,,,,,11389.0,3278.0,,,,,-2114.0,-609.0,,,,,1995-11-01,20664.0,0.8143822987092809,42.32008592910847,50.907645422022
1995.0,1995-12-01,10275.0,2939.0,,,,,10979.0,3141.0,,,,,-704.0,-201.0,,,,,1995-12-01,21254.0,0.9358775844794608,39.152221018418196,30.469399881164595
,1996-01-01,9526.0,2665.0,,,,,12187.0,3410.0,,,,,-2662.0,-745.0,,,,,1996-01-01,21713.0,0.781652580618692,29.376612793698232,63.759742004837406
,1996-02-01,9773.0,2668.0,,,,,10850.0,2962.0,,,,,-1077.0,-294.0,,,,,1996-02-01,20623.0,0.9007373271889401,32.28207904710341,33.96715643906656
,1996-03-01,11910.0,3463.0,,,,,11969.0,3480.0,,,,,-59.0,-17.0,,,,,1996-03-01,23879.0,0.9950705990475395,24.594622868500892,25.52700576822233
,1996-04-01,9956.0,2908.0,,,,,10426.0,3045.0,,,,,-470.0,-137.0,,,,,1996-04-01,20382.0,0.9549203913293689,27.103280990680446,34.52903225806452
,1996-05-01,9613.0,2746.0,,,,,11721.0,3348.0,,,,,-2108.0,-602.0,,,,,1996-05-01,21334.0,0.8201518641754116,27.98562108906937,23.704485488126647
,1996-06-01,9220.0,2636.0,,,,,10031.0,2868.0,,,,,-811.0,-232.0,,,,,1996-06-01,19251.0,0.9191506330375835,21.411640769028175,10.81528943879806
,1996-07-01,9548.0,2689.0,,,,,10429.0,2937.0,,,,,-881.0,-248.0,,,,,1996-07-01,19977.0,0.91552401956084,21.013941698352333,7.715348068580874
,1996-08-01,9631.0,2698.0,,,,,10789.0,3023.0,,,,,-1158.0,-324.0,,,,,1996-08-01,20420.0,0.8926684586152562,18.389674247080514,12.549551429167538
,1996-09-01,9460.0,2648.0,,,,,10573.0,2959.0,,,,,-1114.0,-312.0,,,,,1996-09-01,20033.0,0.8947318641823513,18.889028528339825,5.1830481496219605
,1996-10-01,9499.0,2665.0,,,,,11506.0,3228.0,,,,,-2007.0,-563.0,,,,,1996-10-01,21005.0,0.8255692682078916,9.498559077809787,18.533017410116415
,1996-11-01,9007.0,2520.0,,,,,12235.0,3424.0,,,,,-3228.0,-903.0,,,,,1996-11-01,21242.0,0.7361667347772783,-2.8894878706199445,7.4282202124857255
1996.0,1996-12-01,10049.0,2804.0,,,,,11689.0,3262.0,,,,,-1640.0,-458.0,,,,,1996-12-01,21738.0,0.8596971511677646,-2.199513381995133,6.466891338008929
,1997-01-01,10549.0,2941.0,,,,,13923.0,3882.0,,,,,-3374.0,-941.0,,,,,1997-01-01,24472.0,0.7576671694318753,10.739030023094687,14.244686961516372
,1997-02-01,9853.0,2745.0,,,,,12813.0,3570.0,,,,,-2960.0,-825.0,,,,,1997-02-01,22666.0,0.7689846249902443,0.8185818070193474,18.09216589861751
,1997-03-01,12433.0,3466.0,,,,,12785.0,3564.0,,,,,-352.0,-98.0,,,,,1997-03-01,25218.0,0.9724677356276887,4.391267842149449,6.817612164758957
,1997-04-01,9437.0,2635.0,,,,,11388.0,3180.0,,,,,-1952.0,-545.0,,,,,1997-04-01,20825.0,0.8286793115560239,-5.212936922458821,9.22693266832917
,1997-05-01,10905.0,3045.0,,,,,12547.0,3503.0,,,,,-1642.0,-459.0,,,,,1997-05-01,23452.0,0.8691320634414601,13.44013315302195,7.047180274720577
,1997-06-01,10116.0,2825.0,,,,,11984.0,3347.0,,,,,-1868.0,-522.0,,,,,1997-06-01,22100.0,0.8441255006675568,9.718004338394802,19.469644103279826
,1997-07-01,10677.0,2988.0,,,,,12699.0,3553.0,,,,,-2022.0,-566.0,,,,,1997-07-01,23376.0,0.8407748641625324,11.82446585672392,21.766228785118425
,1997-08-01,10125.0,2819.0,,,,,10991.0,3060.0,,,,,-866.0,-241.0,,,,,1997-08-01,21116.0,0.9212082613047039,5.129270065413771,1.872277319492066
,1997-09-01,10955.0,3007.0,,,,,11566.0,3175.0,,,,,-611.0,-168.0,,,,,1997-09-01,22521.0,0.9471727477088017,15.803382663847776,9.391847157854905
,1997-10-01,10920.0,3014.0,,,,,12989.0,3586.0,,,,,-2069.0,-571.0,,,,,1997-10-01,23909.0,0.8407113711602124,14.95946941783346,12.888927516078574
,1997-11-01,9680.0,2600.0,,,,,12285.0,3299.0,,,,,-2605.0,-700.0,,,,,1997-11-01,21965.0,0.787952787952788,7.471966248473416,0.408663669799747
1997.0,1997-12-01,11423.0,2913.0,,,,,14575.0,3717.0,,,,,-3153.0,-804.0,,,,,1997-12-01,25998.0,0.7837392795883362,13.673002288784964,24.689879373770207
